ticker,trade_date,open,high,low,close,volume
AAPL,2024-01-02,185.2,184.0,187.5,186.3,52000000
MSFT,2024-01-02,370.1,372.4,369.2,371.6,24000000
BARC,2024-01-02,158.2,160.0,157.9,159.5,15000000
HSBC,2024-01-02,645.5,648.2,640.3,646.9,9800000
BP,2024-01-02,505.4,507.1,502.0,NaN,11000000
HSBC,2024-01-02,100,648.2,640.3,646.9,9800000
HSBC,2024-01-02,100,0,640.3,646.9,9800000
HSBC,2024-01-02,100,648.2,0,646.9,9800000
,2024-01-02,158.2,160.0,157.9,159.5,15000000
MSFT,2024-01-02,370.1,Hello,369.2,371.6,24000000
MSFT,2024-26-90,370.1,372.4,369.2,371.6,24000000
MSFT,2024-01-03,370.1,372.4,369.2,371.6,24000000
MSFT,2024-01-04,370.1,372.4,369.2,371.6,24000000
